category,user,id,description,verified,created_at,location,favourites,retweets,entities
neu,kannjichan,1380149710237929484,"เอาจริงๆจากคนที่มุ่งมันใจการเคลียร์​การบ้านทันทุกเย็น จนมองว่าคนที่ทำไม่ได้แม่งขี้เกียจ (หมายถึง​เมื่อก่อนอะ ตอนนี้เราเข้าใจแล้ว ขอโทษ​นะ)​ ปัญหาการศึกษามันไม่ใช่การบ้านเยอะไปหรอก แต่เนื้อหาต่างหากเยอะเกินไป สังเกต​ได้จากจะมีแค่3วิชาบวกลบที่จะมีการบ้าน
#ความล้มเหลวของการศึกษาไทย",False,2021-04-08 13:25:07,,360,1,"{'hashtags': [{'text': 'ความล้มเหลวของการศึกษาไทย', 'indices': [253, 279]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,nonnoykh,1380129705844596737,"มันจบแล้ว ผลไม้มีพิษ
#การศึกษาไทย #อนุชนรักชาติศาสน์กษัตริย์ https://t.co/khJIDYEtud",False,2021-04-08 12:05:38,"อ.อากาศอำนวย, จ.สกลนคร",35,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [21, 33]}, {'text': 'อนุชนรักชาติศาสน์กษัตริย์', 'indices': [34, 60]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1380129701402927109, 'id_str': '1380129701402927109', 'indices': [61, 84], 'media_url': 'http://pbs.twimg.com/media/Eyc0prQWYAUHCwv.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eyc0prQWYAUHCwv.jpg', 'url': 'https://t.co/khJIDYEtud', 'display_url': 'pic.twitter.com/khJIDYEtud', 'expanded_url': 'https://twitter.com/nonnoykh/status/1380129705844596737/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}"
neu,wayoupark,1380117853467119619,"เห็นยทบ.ต่างชาติลงคลิปตื่นตีสี่ตีห้าทุกวัน แล้วเกิดคำถามว่าปกติเขาตื่นกัน6-7โมงหรอ  ตัดมาที่ฉันนี่ต้องออกจากบ้านตั้งแต่6-7โมงเพื่อไปรร.ให้ทันเข้าแถวอะ ทำไมเราต้องตื่นเช้าไปเข้าแถวแทนกินข้าว ถ้าถามว่าทำไมไม่เรียนใกล้บ้าน แกก็ดูการศึกษาไทยสิ😭

#การศึกษาฆ่าฉัน",False,2021-04-08 11:18:32,HOUSE OF JIMIN,21947,0,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [242, 257]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,RRRR34163761,1380037321710469121,ทางอื่นที่จะสอบมีเยอะแยะนี่อะไร ไร้ความรับผิดชอบมาเป็น อาจารย์ได้ไงวะ โครตแย่เลย วิชาอื่นสอบไปหมดนานแล้วออนไลน์แต่นี้คือไร โลกหมุนรอบตัวคุุณหรอ อาจารย์ม. ราชภัฏ อันดับ 1 #การศึกษาฆ่าฉัน #ชิวิตเด็กมหาลัย #โควิด #โควิด19 https://t.co/eOEgNo1G5j,False,2021-04-08 05:58:32,,7,0,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [170, 185]}, {'text': 'ชิวิตเด็กมหาลัย', 'indices': [186, 202]}, {'text': 'โควิด', 'indices': [203, 209]}, {'text': 'โควิด19', 'indices': [210, 218]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1380036627876081665, 'id_str': '1380036627876081665', 'indices': [219, 242], 'media_url': 'http://pbs.twimg.com/media/EybgAFWU8AEzQn-.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EybgAFWU8AEzQn-.jpg', 'url': 'https://t.co/eOEgNo1G5j', 'display_url': 'pic.twitter.com/eOEgNo1G5j', 'expanded_url': 'https://twitter.com/RRRR34163761/status/1380037321710469121/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 409, 'resize': 'fit'}, 'medium': {'w': 978, 'h': 588, 'resize': 'fit'}, 'large': {'w': 978, 'h': 588, 'resize': 'fit'}}}]}"
neg,it3UNmk3eDqOU6h,1380020213970657282,กุรู้สึกรำคาญเพื่อนที่ชอบมาบอกว่า กุผ่านวิชานี้แล้ว! กุได้เกรด4แล้ว! เออกุเข้าใจว่าพวกมึงอ่ะดีใจที่ตัวเองทำตามที่คาดหวังได้ แต่อีห๊อยยย ที่มึงพูดมาแต่ละคำแม่งแทงมาที่ติตใจกุสัสๆ เหี้ยมากกก พูดทีกุนี่โหนั้มตาแตกค่าาา #เด็กมัธยม #การศึกษาไทย #การศึกษาฆ่าฉัน,False,2021-04-08 04:50:33,,105,2,"{'hashtags': [{'text': 'เด็กมัธยม', 'indices': [216, 226]}, {'text': 'การศึกษาไทย', 'indices': [227, 239]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [240, 255]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,rp_____rp,1380017706548649986,"เราและเพื่ิอนคะแนนไม่ถึงวิชาหนึ่งครูให้มาแก้ด้วยการมาเข้าแถวเคารพธงชาติขาดกี่คะแนนมาเท่านั้น เริ่มนับจากหลังหยุดยาวสงกรานต์ก่อนหยุดยาวไม่นับ คือแบบนี้สมเหตุสมผลผมไหมอะสู้ให้ทำอะไรที่มีประโยชน์กว่านี้จะดีกว่า
ฝากทุกคนที่ช่วยรีด้วยนะคะ🙏🏻 #การศึกษาไทย #การศึกษาฆ่าฉัน",False,2021-04-08 04:40:35,,0,2,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [236, 248]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [249, 264]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,Minthra7,1380011200436572161,"โมโหจนตัวสั่น
โมโหจนจะร้องไห้
มีอยู่จริง
#การศึกษาฆ่าฉัน  #การศึกษาไทย",False,2021-04-08 04:14:44,,55,3,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [41, 56]}, {'text': 'การศึกษาไทย', 'indices': [58, 70]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,Minthra7,1380009723701825539,ร้องไห้ได้ไหมในฐานะที่ครูให้กูติด0โดยที่กูส่งงานครบทุกงานและเข้าทุกคาบ ;-; #การศึกษาฆ่าฉัน,False,2021-04-08 04:08:52,,55,1,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [75, 90]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,FlyingNd,1380004354871025667,@KhaosodOnline ถ้ายังมีอาชีพเป็นอาจารย์ แต่กับแยกแยะเรื่องนี้ไม่ออกไปทำมาหากินอย่างอื่นเถอะ เป็นภาระระบบการศึกษาของประเทศ #โควิด #การศึกษาฆ่าฉัน #ยกเลิกสถาบันกษัตริย์ #ยกเลิก112 #โรงเรียนภูเก็ตวิทยาลัย,False,2021-04-08 03:47:32,,516,0,"{'hashtags': [{'text': 'โควิด', 'indices': [122, 128]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [129, 144]}, {'text': 'ยกเลิกสถาบันกษัตริย์', 'indices': [145, 166]}, {'text': 'ยกเลิก112', 'indices': [167, 177]}, {'text': 'โรงเรียนภูเก็ตวิทยาลัย', 'indices': [178, 201]}], 'symbols': [], 'user_mentions': [{'screen_name': 'KhaosodOnline', 'name': 'ข่าวสด', 'id': 266946216, 'id_str': '266946216', 'indices': [0, 14]}], 'urls': []}"
neg,VinhTrollNews,1380001554275594250,"มันเป็นเหตุผลที่นักเรียนและผู้ปกครองฟังไม่ขึ้น นักเรียนม.3 โดนตัดสิทธิ์ไม่ให้เข้าม.4 เพราะ""ไม่จงรักภักดีชาติ กษัตริย์""เนี่ยนะ คุณครูบกพร่องทางทัศนคติเหรอ? อย่ามาบังคับในสิ่งที่คนอื่นไม่บังคับสิ

#การศึกษาฆ่าฉัน #การศึกษาไทย #นักเรียนเลว #hocsinh #sinhvien #ล้อนักข่าว https://t.co/9ZNS8JFpwr https://t.co/5n1xzmyegm",False,2021-04-08 03:36:24,"Hue ,Vietnam",921,1,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [195, 210]}, {'text': 'การศึกษาไทย', 'indices': [211, 223]}, {'text': 'นักเรียนเลว', 'indices': [224, 236]}, {'text': 'hocsinh', 'indices': [237, 245]}, {'text': 'sinhvien', 'indices': [246, 255]}, {'text': 'ล้อนักข่าว', 'indices': [256, 267]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9ZNS8JFpwr', 'expanded_url': 'https://twitter.com/BadStudent_/status/1379995723387695110', 'display_url': 'twitter.com/BadStudent_/st…', 'indices': [268, 291]}], 'media': [{'id': 1379999710254010373, 'id_str': '1379999710254010373', 'indices': [292, 315], 'media_url': 'http://pbs.twimg.com/media/Eya-bMfVEAUKgsc.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eya-bMfVEAUKgsc.jpg', 'url': 'https://t.co/5n1xzmyegm', 'display_url': 'pic.twitter.com/5n1xzmyegm', 'expanded_url': 'https://twitter.com/VinhTrollNews/status/1380001554275594250/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 900, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 544, 'resize': 'fit'}, 'large': {'w': 900, 'h': 720, 'resize': 'fit'}}}]}"
pos,mai_gusjung,1379988085186863108,"เด็กนักเรียนจากชุมชนเล็กๆมีนักเรียนไม่ถึง 60 คน แต่การเรียนการสอนกลับไม่แพ้โรงเรียนใหญ่ๆตามในเมืองเลย
#การศึกษาไทย https://t.co/eeLxPZfAiz",False,2021-04-08 02:42:53,"ลำปาง, ประเทศไทย",31576,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [102, 114]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1379987707649134593, 'id_str': '1379987707649134593', 'indices': [115, 138], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1379987707649134593/pu/img/c6V9oGH0UYKziPiV.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1379987707649134593/pu/img/c6V9oGH0UYKziPiV.jpg', 'url': 'https://t.co/eeLxPZfAiz', 'display_url': 'pic.twitter.com/eeLxPZfAiz', 'expanded_url': 'https://twitter.com/mai_gusjung/status/1379988085186863108/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}"
pos,BrightTodayTh,1379973518918516741,"จีนเผย! การบ้าน เรียนพิเศษ วีดีโอเกม ต้องไม่กระทบต่อ เวลานอนของนักเรียน
 
https://t.co/ZKSSemUUfp 

#นักเรียนจีน #การศึกษา #เวลานอน",False,2021-04-08 01:45:00,Bangkok,826,1,"{'hashtags': [{'text': 'นักเรียนจีน', 'indices': [100, 112]}, {'text': 'การศึกษา', 'indices': [113, 122]}, {'text': 'เวลานอน', 'indices': [123, 131]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ZKSSemUUfp', 'expanded_url': 'https://www.brighttv.co.th/news/china-student-sleeptime', 'display_url': 'brighttv.co.th/news/china-stu…', 'indices': [74, 97]}]}"
neg,Mmini6393,1379965826241978368,กูไม่รู้จะออกความเห็นยังไงกับการศึกษาไทยแล้วอะมึงดูเองเถอะทนโท่ขนาดนี้ใครจะไปอยากเรียนวะครูคิดว่าครูเหนื่อยสุดและนักเรียนสบายสุดหรอเปล่าเลยค่ะอหคนที่เหนื่อยคือพวกกูนี่เอาไรมาสบายสุขภาพจิตสุขภาพร่างกายกูแหลกเกียมแล้วมั้งสัด #การศึกษาไทย,False,2021-04-08 01:14:26,,3042,2,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [223, 235]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,Mmini6393,1379964616222990336,กูต้องทำไงให้ไม่เครียดกับการศึกษาไทยดีจะหนีไปต่างประเทศกูก็กลัวติดโควิดอีกไม่มีตัวเลือกง่ายๆแล้วหรอหรือกูต้องลาออกวะ #การศึกษาไทย,False,2021-04-08 01:09:37,,3042,1,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [117, 129]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
pos,kandainthai,1380661120210509830,ถูกต้อง ฉันโตมากะความเชื่อมั่นว่าเป็นคนพิเศษ เพราะพ่อแม่และย่ายายพูดชมเชย  โดยเฉพาะยาย  มักสอนว่าเป็นหญิงก็เก่งได้  มีผลต่อความมั่นใจในตัวเองมาก  #การศึกษา เริ่มที่บ้าน! https://t.co/sQOu7owIFN,False,2021-04-09 23:17:17,,14159,2574,"{'hashtags': [{'text': 'การศึกษา', 'indices': [146, 155]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sQOu7owIFN', 'expanded_url': 'https://twitter.com/mybabytenten/status/1380407605344968704', 'display_url': 'twitter.com/mybabytenten/s…', 'indices': [170, 193]}]}"
neg,mmybrightness,1380584244305567746,วันนี้คือเหนื่อยสัสๅๆๆๆ สอบแม่งโคตรดูดพลังกู เรียนต่อยาวๆอีก หมดแรง #การศึกษาฆ่าฉัน,False,2021-04-09 18:11:48,น้องไบ๊เปงแมว = fact,2877,0,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [68, 83]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,XH605NEYdkE0XZE,1380571146714710016,ไม่ชอบนักเรียน ก็ไม่ควรเอาความรู้สึกมาลงกับเกรดนักเรียนมั้ยอ่ะ นี้หรอแม่พิมพ์ของชาติ เหอะเห่ออออออ เศษสวะของชาติไม่ดีกว่าหรอคะคุณพี่ คือ วิชาที่ครูบางคนให้คะแนนอ่ะ เป็นวิชาหลักมั้ยคะ สตินิดหนึ่งเนาะ หรือว่าทำตัวแย่ๆจนไม่มีสติ🥱 #การศึกษาไทย,False,2021-04-09 17:19:45,,1,1,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [227, 239]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,dnGZR5cEJ1EdRHt,1380550530921943044,"MVPของการศึกษาไทย คือ
 การศึกษาไม่ต้อง จ้องจะเอาหน้า
ความรู้ท่วมหัว ทำตัวมีปัญหา
เลียตีนเอาหน้า จ้องจะฆ่าเด็ก
ทำเหี้ยแล้ววีน จบด้วยปีนต้นงิ้ว
ครูดีไล่ออก ครูดอกๆเป็นกำลังใจให้

#โรงเรียนชื่อดังย่านคลองกระแชง
#การศึกษาไทย 
#การศึกษาฆ่าฉัน",False,2021-04-09 15:57:50,,23,3,"{'hashtags': [{'text': 'โรงเรียนชื่อดังย่านคลองกระแชง', 'indices': [177, 207]}, {'text': 'การศึกษาไทย', 'indices': [208, 220]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [222, 237]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,MissGentleMiLdD,1380543556205506561,การเป็นนักเรียนไทยยิ่งกว่า x-men กูแถบไม่ได้พัก เวลาส่วนตัวแถบไม่มี ล่าสุดเดือนหน้าจะเปิดเทอมแล้วจร้าาา จะบ้าตาย ลาออกก็ไม่ได้😭 #การศึกษาฆ่าฉัน,False,2021-04-09 15:30:07,,17209,0,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [128, 143]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neu,ESusmaamairukro,1380538805044711431,#การศึกษาฆ่าฉัน #โรงเรียนไม่ใช่ที่ปลอดภัย #โรงเรียนชื่อดังย่านคลองกระแชง ช่วยกันดันtagค่าาาาา,False,2021-04-09 15:11:14,,275,0,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [0, 15]}, {'text': 'โรงเรียนไม่ใช่ที่ปลอดภัย', 'indices': [16, 41]}, {'text': 'โรงเรียนชื่อดังย่านคลองกระแชง', 'indices': [42, 72]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,pp_moomu,1380531106714329093,"แค่เราเกรดน้อย เราก็ถูกมองว่า""โง่"" #การศึกษาฆ่าฉัน",False,2021-04-09 14:40:39,,184,1,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [35, 50]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,fucktomalifee,1380513792795140105,เครียดจากการเรียนจนเป็นโรคซึมเศร้า คิดว่าธรรมดาที่ไหน #การศึกษาฆ่าฉัน #การศึกษาไทย,False,2021-04-09 13:31:51,,1,0,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [54, 69]}, {'text': 'การศึกษาไทย', 'indices': [70, 82]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,fucktomalifee,1380511675556630528,กลายเป็นคนไม่มีความสุขกับการเรียนอีกต่อไป #การศึกษาฆ่าฉัน #การศึกษาไทย,False,2021-04-09 13:23:26,,1,0,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [42, 57]}, {'text': 'การศึกษาไทย', 'indices': [58, 70]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,fucktomalifee,1380511284089614340,ระบบการศึกษาไทยมันกำลังจะเน่าเฟะ #การศึกษาฆ่าฉัน #การศึกษาไทย #โรงเรียนไทย #ระบบการศึกษาไทย,False,2021-04-09 13:21:53,,1,0,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [33, 48]}, {'text': 'การศึกษาไทย', 'indices': [49, 61]}, {'text': 'โรงเรียนไทย', 'indices': [62, 74]}, {'text': 'ระบบการศึกษาไทย', 'indices': [75, 91]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,fucktomalifee,1380509344341495808,ถ้ามีความเป็นครูเขาจะไม่แบ่งแยกนักเรียนหรอกนะครับ #การศึกษาไทย #การศึกษาฆ่าฉัน #โรงเรียนเหลืองแดงย่านอนุสาวรีย์ #โรงเรียนไทย,False,2021-04-09 13:14:10,,1,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [50, 62]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [63, 78]}, {'text': 'โรงเรียนเหลืองแดงย่านอนุสาวรีย์', 'indices': [79, 111]}, {'text': 'โรงเรียนไทย', 'indices': [112, 124]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neu,fucktomalifee,1380507076703625219,แล้วครูอีกคน body shamming เก่ง การแต่งตัว ทรงผม หน้าตา สีผิว มันเป็นเรื่องที่สมควรไหมครับ เป็นครูหน่ะ แมพิมพ์ของชาติเชียวหน่า~ #โรงเรียนเหลืองแดงย่านอนุสาวรีย์ #การศึกษาไทย #การศึกษาฆ่าฉัน,False,2021-04-09 13:05:10,,1,0,"{'hashtags': [{'text': 'โรงเรียนเหลืองแดงย่านอนุสาวรีย์', 'indices': [128, 160]}, {'text': 'การศึกษาไทย', 'indices': [161, 173]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [174, 189]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neu,fucktomalifee,1380503796917276674,ถ้าถามว่าติด0เพราะอะไร บอกเลย เพราะไม่ได้เป็นลูกรักครูไงครับ😣 #โรงเรียนเหลืองแดงย่านอนุสาวรีย์ #การศึกษาไทย #การศึกษาฆ่าฉัน,False,2021-04-09 12:52:08,,1,0,"{'hashtags': [{'text': 'โรงเรียนเหลืองแดงย่านอนุสาวรีย์', 'indices': [62, 94]}, {'text': 'การศึกษาไทย', 'indices': [95, 107]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [108, 123]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neu,fucktomalifee,1380500721896878082,การที่นักเรียนคนหนึ่งส่งงานวิชาหนึ่งของกลุ่มส่วนงานที่เหลือที่ถูกมอบหมายไม่ทำแล้วไม่ติด0 กับอีกวิชาที่ทำส่งเกือบครบทุกงานแต่กับติด0นี่มันหมายความว่าไงหรอครับ? #โรงเรียนเหลืองแดงย่านอนุสาวรีย์ #การศึกษาไทย #การศึกษาฆ่าฉัน,False,2021-04-09 12:39:55,,1,0,"{'hashtags': [{'text': 'โรงเรียนเหลืองแดงย่านอนุสาวรีย์', 'indices': [159, 191]}, {'text': 'การศึกษาไทย', 'indices': [192, 204]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [205, 220]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neu,fucktomalifee,1380498855339257858,ทุกโรงเรียนมันจะมีครูประเภทหนึ่งที่แบ่งแยกนักเรียน ใช่ครับ โรงเรียนผมก็เช่นกัน #โรงเรียนเหลืองแดงย่านอนุสาวรีย์ #การศึกษาไทย #โรงเรียนไทย,False,2021-04-09 12:32:30,,1,0,"{'hashtags': [{'text': 'โรงเรียนเหลืองแดงย่านอนุสาวรีย์', 'indices': [79, 111]}, {'text': 'การศึกษาไทย', 'indices': [112, 124]}, {'text': 'โรงเรียนไทย', 'indices': [125, 137]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neu,Kwan_PXX,1380480821564305409,"""การศึกษาไทยมันดี มันพัฒนาขึ้นไปทุกวันนะลูก"" ผู้ใหญ่ท่านหนึ่งได้กล่าวไว้ เเต่หารู้ไม่ว่าผู้ใหญ่ท่านนั้นยังส่งลูกหลานไปเรียนต่างประเทศอยู่เลย👍 #การศึกษาไทย",False,2021-04-09 11:20:50,,16,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [142, 154]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,NrDezx,1380479299065507840,"ตีเด็กเรื่องเขียนศัพท์อังกฤษไม่ได้ ตีเรียงตามข้อ ด่านร. กดดันนร. จนนร.หลายคนหวาดกลัว ผู้ปกครองมาเอาเรื่องก็ปล่อยเบลอ
#การศึกษาไทย #การศึกษาฆ่าฉัน #โรงเรียนเอกชนสัตหีบ",False,2021-04-09 11:14:47,,63,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [117, 129]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [130, 145]}, {'text': 'โรงเรียนเอกชนสัตหีบ', 'indices': [146, 166]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,Bonusss20810476,1380474678817431553,"ใครเป็นบ้างส่งทุกงาน ตรงเวลา พร้อมเพื่อน ทำไมคะแนนเก็บไม่เท่ากัน ทั้งๆที่ส่งทุกๆงานพร้อมกัน😿
#การศึกษาฆ่าฉัน #การศึกษาไทย",False,2021-04-09 10:56:26,,92,1,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [93, 108]}, {'text': 'การศึกษาไทย', 'indices': [109, 121]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,NrDezx,1380472849383653376,ครูบางคนยังไม่หยุดใช้วิธีเลิกทาส นร.โพสความจริงจะแจ้งจับนร.   ยืมแท็กคับ  #โรงเรียนเอกชนสีม่วงสัตหีบ #โรงเรียนเอกชนชื่อดังย่านบ่อวิน #การศึกษาฆ่าฉัน #นักเรียนเลว,False,2021-04-09 10:49:09,,63,2,"{'hashtags': [{'text': 'โรงเรียนเอกชนสีม่วงสัตหีบ', 'indices': [74, 100]}, {'text': 'โรงเรียนเอกชนชื่อดังย่านบ่อวิน', 'indices': [101, 132]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [133, 148]}, {'text': 'นักเรียนเลว', 'indices': [149, 161]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,pattiyaaaaaaz,1380458577932865538,ลูกรัก=เกรด4นี่คืออีกหนึ่งความล้มเหลวของการศึกษาไทย #การศึกษาไทย #การศึกษาฆ่าฉัน,False,2021-04-09 09:52:27,,618,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [52, 64]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [65, 80]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,pattiyaaaaaaz,1380457479893491716,"คนสอนแม่งทำให้เกลียดวิชาเรียนอ่ะ
ทำให้นร.ไม่อยากเรียน นี่คือเรื่องตลกร้ายของประเทศนี้ #การศึกษาไทย #การศึกษาฆ่าฉัน",False,2021-04-09 09:48:05,,618,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [86, 98]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [99, 114]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,Pariiichat,1380448306371825665,"เรียนก็เรียนออนไลน์ แต่เรียกเก็บค่าบำรุงสะเยอะเลย
ล่าสุดประกาศหยุดเรียนอีกแล้ว ทั้งๆที่มีสอบ
จะจบบ่หนอ #หอยทองหล่อเป็นเหตุ 🙄 #การศึกษาไทย #โควิดวันนี้  #โควิดรอบ3",False,2021-04-09 09:11:38,,2128,0,"{'hashtags': [{'text': 'หอยทองหล่อเป็นเหตุ', 'indices': [103, 122]}, {'text': 'การศึกษาไทย', 'indices': [125, 137]}, {'text': 'โควิดวันนี้', 'indices': [138, 150]}, {'text': 'โควิดรอบ3', 'indices': [152, 162]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,hostOFwestworld,1380419150158307330,บทลงโทษไร้สาระของพวกสลิ่ม #การศึกษาไทย #การศึกษาฆ่าฉัน #ความล้มเหลวของการศึกษาไทย https://t.co/Lu52ZECDCH,False,2021-04-09 07:15:47,"Bangkok,Thailand",9540,0,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [26, 38]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [39, 54]}, {'text': 'ความล้มเหลวของการศึกษาไทย', 'indices': [55, 81]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Lu52ZECDCH', 'expanded_url': 'https://twitter.com/BadStudent_/status/1380395678589853697', 'display_url': 'twitter.com/BadStudent_/st…', 'indices': [82, 105]}]}"
neg,hcxxmrl,1380412235281920002,ภาษาไทยฉันได้ 79 คะแนนเดียวเองค่ะคุณอาจารย์ขาให้กันไม่ได้หรอ? คือมันกดเกรดฉันไปเลยอ่ะ วิชาอื่นคือเกรด4หมดมาไทยได้3.5? คะเเนนเดียวกุจะได้เกรด4เเล้ว พอเกรดรวมออกมาได้3.98 มันเเบบ ถ้าในอนาคตฉันต้องใช้เกรดเเน่นอนในการเข้าเรียน มันอาจจะตัดโอกาสฉันได้เลยอ่ะ กุไม่โอเคจริงๆ #การศึกษาไทย https://t.co/x0i5j5M1fq,False,2021-04-09 06:48:18,,133,3,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [267, 279]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1380412225295327233, 'id_str': '1380412225295327233', 'indices': [280, 303], 'media_url': 'http://pbs.twimg.com/media/Eyg1muxVoAE4VmB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eyg1muxVoAE4VmB.jpg', 'url': 'https://t.co/x0i5j5M1fq', 'display_url': 'pic.twitter.com/x0i5j5M1fq', 'expanded_url': 'https://twitter.com/hcxxmrl/status/1380412235281920002/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 306, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 540, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 864, 'resize': 'fit'}}}]}"
