,description,created_at
903,"เรียนออนไลน์ก็ว่าเหี้ยละ ยังจะคู่คี่อีก ฟวยยย!! 

#เรียนออนไลน์",2019-05-04 13:23:28
904,"จะเรียนวันคู่วันคี่เพื่ออ ทำอย่างกับจะไม่ติดเชื้อกัน กูละเคียมมม🙄

#การศึกษาฆ่าฉัน #ประเทศกูมี",2019-05-04 13:23:28
906,เมื่อจารถามว่าความเชื่อไหนที่เราเชื่อแบบมีเหตุผล มีคนหนึ่งตอบว่า เชื่อว่า ที่เรากินเพราะเราหิว มรึงงงงงงงโครตปั่น จ… https://t.co/g5kmKuF608,2019-05-06 12:31:36
908,"นักเรียนชาย ม.6 จำนวน 4 คน แอบถ่ายใต้กระโปรงนักเรียนหญิง
สรุป โรงเรียนเลือกปกป้องผู้กระทำผิดมากกว่าที่จะปกป้องนักเ… https://t.co/psuVptTYS6",2019-05-08 11:48:06
909,"ครูโรงเรียนอื่นเช็คชื่อคาบติวโอเน็ตแล้วเอามารวมกับการเช็คชื่อในคาบเรียนไหม??
#การศึกษาไทย #onet #onet63 #Dek64",2019-05-11 09:03:57
911,หาประโยชน์จากการเรียนลูกเสือที #การศึกษาไทย,2019-05-12 15:29:28
912,เน็ตดีแทคเขาเป็นอะไรช่วงนี้คือเหี้ยไม่ไหวเรียนออนไลน์ก็ไม่รู้เรื่องทำห่าอะไรก็แทบไม่ได้ นี่สมัครรายเดือยละพัน แต่ก่… https://t.co/Jt4zF00zeI,2019-05-14 17:40:16
914,มึง กูเป็นเด็กม.3ที่งานเยอะมากแบบชิบหายเลย เรียนออนไลน์ก็ไม่รู้เรื่อง แล้วก็สั่งงานเยอะมากๆ วันนึงกูมีเรียน5วิชากู… https://t.co/mqMnX4hthR,2019-05-18 15:22:07
915,"#ส่งต่อ #ส่งต่อเครื่องเขียน
ใหม่! มือหนึ่งจ้า ✨
.#SARASA 180฿
.#สติ๊กเกอร์ รูป2 〰️45฿/แผ่น
.#สติ๊กเกอร์ รูป3,4 〰️ 3… https://t.co/BoCOaWH16j",2019-05-18 15:35:21
916,"#ส่งต่อ 3 แท่ง 100 บาท
ค่าส่ง 30/50
#ส่งต่อเครื่องเขียน #ขายเครื่องเขียน
#รีวิวเครื่องเขียน #นักเรียน
#เรียนออนไลน์… https://t.co/OFb9o7bcNy",2019-05-18 15:35:21
917,"#ส่งต่อ 3 แท่ง 100 บาท
ค่าส่ง 30/50
#ส่งต่อเครื่องเขียน #ขายเครื่องเขียน
#รีวิวเครื่องเขียน #นักเรียน
#เรียนออนไลน์… https://t.co/J6rInhzfpS",2019-05-18 15:35:21
918,เครียดกับการเรียนและการสอบแบบออนไลน์ มันไม่มีความมั่นใจเลยอะและยิ่งต้องสอบตัวต่อตัวเปิดกล้องให้ดูวิธีคิดอธิบายเวลา… https://t.co/dVtBOBlff9,2019-05-20 13:53:57
919,สอนนักเรียนไม่ทันเลยมาขอคาบว่างของนักเรียนแล้วเร่งงานให้ส่งก่อนวันนี้ๆพอนักเรียนอึกอักตอบไม่ได้ก็ขู่ตัดคะแนนๆ พูดสู… https://t.co/HStsRZkHpF,2019-05-20 13:53:57
920,#การศึกษาฆ่าฉัน โทษนะถ้าไม่ต้องการเรียนรู้กูไม่มาหรอกรร.อ่ะ,2019-05-25 16:10:27
921,#การศึกษาฆ่าฉัน  คำพูดสวยหรูแต่ไม่เคยสอนอะไรหนู่เลยนะคะ,2019-05-25 16:10:27
922,วันจันทร์จะสอบกลางภาคไม่เคยสอนสั่งแต่งานให้เหตุผลว่าสอนแบบมหาลัยเรียนรู้เองวันนี้มาอ่านแกรมมาให้กูฟังย้ำนะว่าอ่านไ… https://t.co/WP5san0xnF,2019-05-25 16:10:27
923,"เรียนออนไลน์ = ทำทุกอย่างยกเว้นเรียน อาทิ กินข้าว ดูหนัง เล่นโทรศัพท์ ตัดเล็บ
#เรียนออนไลน์",2019-05-28 13:46:54
925,#การศึกษาไทย ขอบคุณวิชาสุขศึกษาเพศศึกษานะ ขอบคุณจริงๆ ที่ทำให้ฉันไม่รู้และเข้าใจว่าเราควรจัดการกับร่างกายตนเองอย่าง… https://t.co/ErL15LLpfk,2019-05-29 15:44:24
927,ทุกวันนี้เหมือนซื้อคะแนนกับเกรดเพื่อจบอะ นักเรียนทำรายงาน ไหนต้องเสียเงินค่ารายงาน ไหนต้องเสียเงินค่าปริ้นอีก และมั… https://t.co/EXvhmO92cI,2019-06-04 13:35:40
928,"การศึกษาของประเทศประสาทแดกนี่คือการนั่งทำการบ้านไปร้องไห้ไป ไม่ไหวแล้วอ่ะ ทำไมไม่มีใครเข้าใจบ้างว่าแค่นี้ก็เครียดจะตายอยู่แล้ว
#การศึกษาฆ่าฉัน",2019-06-04 23:13:08
929,การศึกษาของประเทศประสาทแดกนี่คือการนั่งทำการบ้านไปร้องไห้ไป ไม่ไหวแล้วอ่ะ ทำไมไม่มีใครเข้าใจบ้างว่าแค่นี้ก็เครียดจะ… https://t.co/yahkxotwoP,2019-06-04 23:13:08
943,"ขอแสดงความเสียใจกับครอบครัวและคนใกล้ชิดของน้องด้วยครับ  
.
การบังคับเรียนออนไลน์แบบไม่มีความพร้อม และไม่มีการช่วยเห… https://t.co/o98nYT0DJa",2019-06-09 15:27:12
945,#ทวิตดีคนรีน้อย #การศึกษาไทย  อยากให้เรื่องแมสมากเลยค่ะ รรเรากำลังจะเปิดแล้ว แต่เราก็ยังไม่ไว้ใจจริงๆ อยากให้สั่งปิ… https://t.co/X4nXDv2sV1,2019-06-15 04:04:43
946,"การศึกษาไทยก็คือ คนที่ด้อยกว่ามีหน้าที่นั่งฟังในห้องสี่เหลี่ยม คนที่เก่งกว่ามีหน้าที่ออกหน้าออกตาทำแต่กิจกรรม.
#การศึกษาฆ่าฉัน",2019-06-22 18:55:12
947,"น้องแกะจะกินหมดวันไหนน้า วันนี้มายากนิดนึง แต่ใช้ความรู้ระดับ ม.1 เท่านั้น 

เกร็ดความรู้ :

โจทย์แนวสัดส่วนผกผันหล… https://t.co/Owm3ZXV5OI",2019-06-23 15:24:40
948,ฝากรีหน่อยนะคะ โรงเรียนในจังหวัดเราเอง ครูฝึกสอนคนนึ้ตีเพราะไม่ได้เอาป้ายชื่อห้อยคอมาเรียนในวิชาของเขา แล้วครูตีแรง… https://t.co/N257mTy8VK,2019-06-25 12:42:41
950,"เอิ่ม ถ้าเจอคำถามนี้ทำไง เป็นกูกูก็ฤดูร้อนอ่ะค่ะ
ร้อน ร้อนมาก ร้อนชิบหาย 🙄🙄
#เรียนออนไลน์ https://t.co/xxbgSdpWvO",2019-06-30 12:26:30
951,"อยากจะโวยยยย
#เรียนออนไลน์ https://t.co/W69xASwQzg",2019-06-30 12:26:30
952,"☁Set App for ipad🎨
🌷เซ็มแอพสุดคุ้ม จุใจมีครบทุกแอพการเรียนใช้เรียน วาดรูป ครบ💌💥 ราคาเพียง 150บาท only🍟… https://t.co/Y1nLCTTnQC",2019-06-30 14:00:21
953,"☁Set App for ipad🎨
🌷เซ็มแอพสุดคุ้ม จุใจมีครบทุกแอพการเรียนใช้เรียน วาดรูป ครบ💌💥 ราคาเพียง 150บาท only🍟… https://t.co/d3W0PZEixs",2019-06-30 14:00:21
954,"☁Set App for ipad🎨
🌷เซ็มแอพสุดคุ้ม จุใจมีครบทุกแอพการเรียนใช้เรียน วาดรูป ครบ💌💥 ราคาเพียง 150บาท only🍟… https://t.co/zTacd704jY",2019-06-30 14:00:21
955,ขายโน๊ตบุ๊คมือสองค่ะ 2000.- ขายเพราะไม่ได้ใช้เลย สภาพใช้งานได้ปกติ แบตไม่เสื่อม  ขอดูรูปเพิ่มเติมเดมมาเลยค่ะ… https://t.co/cR7eOQU70V,2019-07-08 10:08:15
956,ก็คือเหนื่อยมากงานเยอะมากๆจนต้องมาต้องคุยกับคัวเองก่อนว่าจะทำอันไหนก่อนดีเเต่ละวิชาสั่งวันเดียวกันหรือคนละวันกันเเต่นัดวันส่งวันเดียวกันนั่งกุมขมับเเล้ว~#ความล้มเหลวของการศึกษาไทย,2019-07-09 05:44:54
957,ก็คือเหนื่อยมากงานเยอะมากๆจนต้องมาต้องคุยกับคัวเองก่อนว่าจะทำอันไหนก่อนดีเเต่ละวิชาสั่งวันเดียวกันหรือคนละวันกันเเ… https://t.co/Fd2389Fl8c,2019-07-09 05:44:54
958,มีครูคนหนึ่งสั่งงานทุกวันทักคาบไม่ใช่คาบตัวเองก็สั่งเเล้วเด็กไม่ได้เรียนเเค่ของครูคนเดียวผลสุดท้ายตามงานกันไม่ทันทั้งๆที่ทำกันทุกวันทุกคาบต้องจำงานเป็นสิบๆเรื่องไปพูดจดเป็น40-50หน้าคิดอะไรอยู่ #ความล้มเหลวของการศึกษาไทย,2019-07-09 05:44:54
959,ไหนบอกว่าการบ้านลดไง เรียนออนไลน์ยังพอเข้าใจอยู่ เเต่พอไปรร.ทำไมยังได้การบ้าน นี่ครูสั่งการบ้าน 30 กว่าข้อนั่งทำตาเ… https://t.co/XDwYAahaTo,2019-07-12 06:01:26
960,เพื่อน ๆ ที่เป็นครู หรือนิสิต/นักศึกษาฝึกสอนระดับชั้นมัธยมมีนักเรียนไม่ส่งการบ้าน/ส่งการบ้านเลยกำหนดกันเยอะ 1) จนเ… https://t.co/DMx9o0aiO6,2019-07-12 07:37:21
961,สรุปนึกว่าจะได้เรียนออนไลน์อยู่บ้านอีก พอมหาลัยมาประกาศอีกที เอ้า เปิดเรียนหรอ มาประกาศอีก3วันเปิด เพลียใจเด้อค่าาาาา #เรียนออนไลน์,2019-07-14 08:05:09
962,การศึกษาประเทศไทยบังคับเด็กในสิ่งที่เด็กไม่อยากทำเยอะมาก บังคับโดยคะแนน #การศึกษาไทย,2019-07-16 21:34:54
963,"รับทำรายงาน คัดลายมือ 
งานรีบ งานด่วน ไฟล้นก้น รับหมดฮะ
- ไทย หน้าละ 10-20 
- อังกฤษ หน้าละ 15-30
- จีน หน้าละ 25-5… https://t.co/JaZnlb9QGB",2019-07-24 15:00:42
964,"วิสามัญ : ครูตั้น วันนี้ 18 ก.พ.64 เวลา : 15.00 น. เป็นต้นไป ถ่ายทอดสด ทาง TV(รัฐสภา)ช่อง-10 , และ FM-87.50… https://t.co/CA7xwDQ6Bp",2019-07-25 08:49:16
966,"ให้ Mr.Tam มารับเงินเดือนๆละ 50,000.-จาก ก.ศึกษาฯ , ที่เป็นญาตของครู ชื่อ Nylas Tam ,สอนภาษาจีนแมนดาริน ที่ รร.นานา… https://t.co/wwlOTokY0O",2019-07-25 08:49:16
967,"ครูตั้น ไร้ภาระผู้นำ , ไร้สำนึก ประชุมมอบนโยบายข้าราชการชั้นผู้ใหญ่กระทรวงศึกษาฯ , นักเรียนเลว และ ครูชุดดำ ติดตามก… https://t.co/fhhdmTCOMX",2019-07-25 08:49:16
968,เรื่องไม่ควรเกิดขึ้นในโรงเรียน สำหรับพี่สายเด็กคือการทำโทษด้วยความรุนแรง การล่วงละเมิดทางเพศและการบูลลี่ค่ะ ใครมีเ… https://t.co/8N65cKKHqN,2019-07-26 05:45:41
969,"หลังตุงเพราะแบกทั้งหนังสือและความคาดหวังของทุกคนมาด้วย
#การศึกษาฆ่าฉัน
#สายเด็ก1387 https://t.co/NKa0eQYGi3",2019-07-26 05:45:41
970,"เรื่องไม่ควรเกิดขึ้นในโรงเรียน สำหรับพี่สายเด็กคือการทำโทษด้วยความรุนแรง การล่วงละเมิดทางเพศและการบูลลี่ค่ะ ใครมีเรื่องอะไรอีกคอมเมนต์กันได้เลยนะ
#การศึกษาฆ่าฉัน
#สายเด็ก1387 https://t.co/xFDfUtuDBj",2019-07-26 05:45:41
971,วันนี้ครูให้เด็กวิ่งรอบสนามจนชักเข้าโรงบาล2คน บาดเจ็บอีก ทุกคนคิดว่านี่เหมาะสมแล้วหรอคะ?#การศึกษาฆ่าฉัน ช่วยดันรีหน่ยค่ะ,2019-07-27 06:31:05
972,ลองมาเป็นนักเรียนดูมั้ย?#การศึกษาฆ่าฉัน #การศึกษาไทย https://t.co/oLchnmVBme,2019-07-27 06:31:05
973,"สถานการณ์ ตอนนี้เอาจริงไม่ควรเปิดเรียนเลย
เห็นอยู่ว่าติดโควิด-19กันเยอะ ส่วนเรียนออนไลน์ไม่ควรมีเลย
มันควรมีวิธีแก้… https://t.co/tyjdIuwJGc",2019-07-29 13:28:26
974,เหนื่อยมากเลย หมดแรงทำงานไม่อยากเรียนต่อเลยเจอโดนแบบนี้ ทำงานที่จารสั่งมาทั้งอาทิตย์เรียนมี5วิชาสั่งงาน5วิชาต้องส่ง… https://t.co/OmY14w3Tvc,2019-08-09 10:18:46
975,เรียนหนักไม่พอยังต้องโดนคำพูดบั่นทอนขนาดนี้ คือเรียนดีไซน์มันหนักจริงๆส่งงานวันต่อวัน เวลาพักแทบไม่มี แต่วิชามันก็ใ… https://t.co/PAT1hcEvwO,2019-08-09 10:18:46
976,ทำไมโรงเรียนในประเทศไทยถึงชอบยกย่องเด็กที่สอบติดมหาวิทยาลัยชื่อดังของประเทศ ในขณะเด็กที่สอบติดมหาวิทยาลัยที่ไม่ได้… https://t.co/9zc7DANOl3,2019-08-11 20:05:21
977,เรียนดนตรีแล้วครูสั่งให้เอาขลุ่ยมาฝึกเล่นที่โรงเรียน แล้วห้องเราแทบจะทุกคนไม่มีขลุ่ยกัน 95% เลยก็ว่าได้ พยายามบอกค… https://t.co/bJJmxXfCHj,2019-08-14 15:00:39
978,"เรียนดนตรีแล้วครูสั่งให้เอาขลุ่ยมาฝึกเล่นที่โรงเรียน แล้วห้องเราแทบจะทุกคนไม่มีขลุ่ยกัน 95% เลยก็ว่าได้ พยายามบอกครูแต่คำตอบที่ได้คือ ""มีก็มี ไม่มีก็ต้องมี"" ขอโทษนะ เด็กบางคนเขาไม่ได้มีเวลาว่างมากพอที่จะต้องไปทำตามอะไรไร้สาระของคุณหรอกค่ะ มันสิ้นเปลือง #ความล้มเหลวของการศึกษาไทย",2019-08-14 15:00:39
979,"สำนวนเด่นๆ ที่เห็นและใช้บ่อยในชีวิตประจำวัน

#ภาษาอังกฤษ #เรียนออนไลน์ #เรียนภาษาอังกฤษ #vocabulary #vocab #grammar #การศึกษา #คำศัพท์ภาษาอังกฤษ #chutjane #สำนวน #สำนวนภาษาอังกฤษ #ไทย #ภาษาไทย #thai2english #thaienglish #english #toeic #อเมริกา #ประเทศอเมริกา #สำนวน #สำนวนอังกฤษ https://t.co/CRTKOf1fW2",2019-08-15 12:03:44
980,"สำนวนเด่นๆ ที่เห็นและใช้บ่อยในชีวิตประจำวัน

#ภาษาอังกฤษ #เรียนออนไลน์ #เรียนภาษาอังกฤษ #vocabulary #vocab #grammar… https://t.co/9j5rguVINW",2019-08-15 12:03:44
981,ไม่มีใครเคยถามเคยถามเราสักครั้งว่าวิธีนี้ดีไหมมันเวิร์ค​หรือเปล่ามีแต่คำพูดที่สั่งให้เราต้องทำ ใช้ชีวิตเหมือนเครื่อ… https://t.co/wlHa4hvEe5,2019-08-17 01:53:53
982,ไม่ได้ป่ะ หมดคำจะพูดกับมึงเลย เนื้อหาการศึกษามันควรจะเป็นแบบนี้หรอ? #การศึกษาไทย https://t.co/u6kUg3ZskY,2019-08-18 14:31:50
983,"โอเค โป๊ะ1กรุบ เพราะไม่รู้ว่าไปเปิดกล้องตอนไหนแล้วก็นอนเรียนจน อ.ทัก""อ้าวนอนเรียนซะเเล้ว"" ฉันก็เลยไปดูแถบเมนูโอเค… https://t.co/zusqOI5DJ9",2019-08-20 13:07:32
984,"ทำไมสถานศึกษาถึงมีความรุนแรงที่มาจากคนที่เรียกตัวเองว่า""ครู""
#การศึกษาไทย #การศึกษาฆ่าฉัน",2019-08-21 10:07:47
985,"อ้างว่าอยากให้เด็กแก้ไขปัญหาแต่นี่คือการยัดปัญหาใส่เด็กแล้วบังคับให้เด็กแก้ไขมันแบบมักง่ายค่ะ #โรงเรียนไทย
#การศึกษาไทย #รรสค",2019-08-21 14:42:37
986,เรียนคอร์สติวออนไลน์มันมักจะมีคนประเภทขี้อวด ตอบก่อนคนสอน ยังจะอธิบายด้วยนะ บลาๆๆค่ะ กูก็ จ้าาา บางทีก้อให้กูได้คิด… https://t.co/I0vx11nuNY,2019-08-23 08:31:10
987,เพียงแค่เพื่อนร่วมห้องคนหนึ่งเป็นเด็กพิเศษซึ่งตอบคำถามเรื่องไวยากรณ์ภาษาอังกฤษผิด แต่คนทั้งห้องกลับถูกตีตราว่าไม่มี… https://t.co/VgUtOvnZlH,2019-08-25 12:26:31
988,เพียงแค่เพื่อนร่วมห้องคนหนึ่งเป็นเด็กพิเศษซึ่งตอบคำถามเรื่องไวยากรณ์ภาษาอังกฤษผิด แต่คนทั้งห้องกลับถูกตีตราว่าไม่มีความรู้พื้นฐาน #ความล้มเหลวของการศึกษาไทย,2019-08-25 12:26:31
989,การศึกษาของเราควรพัฒนาได้มากกว่านี้อ่ะ หลังที่มีโควิดคือเห็นเลยว่าแบบแย่สุดๆ เรียนออนไลน์ใช่ว่าครูจะเข้าสอนทุกคน บา… https://t.co/m5vcib6tEF,2019-08-27 04:13:44
990,การศึกษาของเราควรพัฒนาได้มากกว่านี้อ่ะ หลังที่มีโควิดคือเห็นเลยว่าแบบแย่สุดๆ เรียนออนไลน์ใช่ว่าครูจะเข้าสอนทุกคน บางคนเข้ามาเช็คชื่อแล้วก็ไป หรือก็ให้งานไว้ใน classroom ฉันต้องการจะเรียนจริงๆอ่ะ พอกลับมาเปิดโรงเรียนก็เรียนอาทิตย์เดียวสอบ เอาที่ไหนมาสอบ #การศึกษาไทย,2019-08-27 04:13:44
991,"จะจบม.3แล้ว งานเยอะมาก 
#การศึกษาไทย",2019-08-28 22:43:40
992,อาจารย์นี่ทำเด็กสุขภาพพังโดยไม่ต้องรับผิดชอบเลยสินะ #เรียนออนไลน์ #การศึกษาไทย #สั่งงานเยอะเกินไป,2019-08-30 23:42:25
993,"มาเป็นครู ตจว. ตั้งใจมาเพื่อเปลี่ยนmindsetเด็ก
ให้เค้ากล้าคิด กล้าฝัน แล้วหาวิธีไปให้ถึงจุดนั้น
ทุกวันนี้คือสนิทกับ… https://t.co/hHxS9GEBoQ",2019-08-31 21:01:13
994,ยังรับอยู่เหมือนเดิมน้าา ทักมาคุยรายละเอียดกันก่อนได้เลยฮับบ ! #แปล #ภาษาอังกฤษ #แปลภาษาอังกฤษ #เรียนภาษาอังกฤษ… https://t.co/EmzGFnjaKA,2019-09-01 07:23:23
995,"คิวว่างยาวๆเลยค่ะ มีเวลาเต็มที่ รับแปล, ตรวจแก้ภาษา EN-TH | EN-TH ทุกชนิด ทุกรูปแบบ DM หรือ แอดไลน์ @252pimbe (มี @… https://t.co/gJnEy2sYKi",2019-09-01 07:23:23
996,คณิตศาสตร์ไม่ว่าจะเป็นคณิตหลักหรือเพิ่มหรือเสริมอะไรต่างๆนาๆ ไม่ว่าจะเรียนที่โรงเรียนหรือเรียนออนไลน์กูก็ไม่เคยเรีย… https://t.co/MJEd9yczf6,2019-09-02 12:40:31
997,"2️⃣ชีทสรุปความรู้ทั่วไปของจีน 
(ประวัติศาสตร์/ภูมิศาสตร์/การเมือง/เทศกาลต่างๆ)
👉🏻80 ฿/ ไฟล์ 
⚠️แถมฟรี!!! รวมลักษณนา… https://t.co/2zOBGKx41Z",2019-09-05 15:36:59
998,"3️⃣ชีทตัวอย่างข้อสอบปีล่าสุด(59-61) กว่า100 ข้อ 
👉🏻 80฿/ ไฟล์ 
⚠️แถมฟรี!!! รวมลักษณนามจีนอีก 1 ชุด
📝IG : patchinese… https://t.co/IJG113yzD3",2019-09-05 15:36:59
999,"คอร์สตะลุยแพทจีน 490฿ เท่านั้น!!!!
-พาร์ทแกรมม่า หลักภาษา เรียงลำดับ คำศัพท์ บทความ 
-100 ข้อ 
- พินอิน ความหมายทีล… https://t.co/zcUGT49WnT",2019-09-05 15:36:59
1000,"1️⃣3️⃣ ชีทสรุป HSK1+คำศัพท์ 150 คำ
🍭 130฿ / ไฟล์ 
🎈แถมชีทลักษณนาม+多音字 ฟรี 1 ชุด
.
💌: patchinese7.4 
#แพทจีน… https://t.co/Pi0vm5gVNZ",2019-09-05 15:36:59
1001,"6️⃣ชีทสรุปไวยากรณ์(语法) HSK3-4
🍭ครอบคลุมทั้งข้อสอบ
💡จีน-อังกฤษ
📝 คำอธิบาย+ตัวอย่าง
🎈สอบแพทจีน อ่านได้
👉🏻 130฿ / ไฟล์… https://t.co/nQFtqrOAAp",2019-09-05 15:36:59
1002,"2️⃣ชีทสรุปความรู้ทั่วไปของจีน 
(ประวัติศาสตร์/ภูมิศาสตร์/การเมือง/เทศกาลต่างๆ)
👉🏻80 ฿/ ไฟล์ 
⚠️แถมฟรี!!! รวมลักษณนา… https://t.co/A6DzpG1rQG",2019-09-05 15:36:59
1003,"1️⃣3️⃣ ชีทสรุป HSK1+คำศัพท์ 150 คำ
🍭 130฿ / ไฟล์ 
🎈แถมชีทลักษณนาม+多音字 ฟรี 1 ชุด
.
💌: patchinese7.4 
#แพทจีน… https://t.co/1PeUbH1bLw",2019-09-05 15:36:59
1004,"1️⃣1️⃣ ชีทข้อสอบ HSK4 （阅读）
🎈 คำอธิบาย + เฉลย 
🍭 H41002
👉🏻 80 ฿ / ไฟล์ 
.
💌: patchinese7.4 
💰รับวอลเลต / k+/bkk/scb… https://t.co/r2IGIUdWko",2019-09-05 15:36:59
1005,"9️⃣ ชีทข้อสอบHSK3 (阅读)
🍭 คำศัพท์HSK3 600 คำ พร้อมตัวอย่าง
🎉 H31001 H31002 H31003
📝 คำอธิบาย+เฉลย
👉🏻100฿ /ไฟล์
💌: pa… https://t.co/zX2FV6S41h",2019-09-05 15:36:59
1006,"6️⃣ชีทสรุปไวยากรณ์(语法) HSK3-4
🍭ครอบคลุมทั้งข้อสอบ
💡จีน-อังกฤษ
📝 คำอธิบาย+ตัวอย่าง
🎈สอบแพทจีน อ่านได้
👉🏻 130฿ / ไฟล์… https://t.co/ueAyz8m5hy",2019-09-05 15:36:59
1007,"1️⃣1️⃣ ชีทข้อสอบ HSK4 （阅读）
🎈 คำอธิบาย + เฉลย 
🍭 H41002
👉🏻 80 ฿ / ไฟล์ 
.
💌: patchinese7.4 
💰รับวอลเลต / k+/bkk/scb… https://t.co/m1FYrXzxUU",2019-09-05 15:36:59
1008,"5️⃣ชีทข้อสอบ #แพทจีน
🎈รอบวันที่ 9 มีนาคม 2553 
📝คำอธิบาย+เฉลย ครบ100ข้อ 
👉🏻80฿ / ไฟล์ 
#แพทจีน #ชีทสรุป… https://t.co/Km9Fq15G7q",2019-09-05 15:36:59
1009,"2️⃣ชีทสรุปความรู้ทั่วไปของจีน 
(ประวัติศาสตร์/ภูมิศาสตร์/การเมือง/เทศกาลต่างๆ)
👉🏻80 ฿/ ไฟล์ 
⚠️แถมฟรี!!! รวมลักษณนา… https://t.co/1Y7OrQ5NN4",2019-09-05 15:36:59
1010,"3️⃣ชีทตัวอย่างข้อสอบปีล่าสุด(59-61) กว่า100 ข้อ 
👉🏻 80฿/ ไฟล์ 
⚠️แถมฟรี!!! รวมลักษณนามจีนอีก 1 ชุด
📝IG : patchinese… https://t.co/4DBeZQJqwr",2019-09-05 15:36:59
1011,"🔟 ชีทสรุปHSK4 🍭 สรุปไวยากรณ์สำคัญ
🎈 คำศัพท์HSK4 1200 คำ
📝 ตัวอักษรจีน พินอิน คำแปล
📌 แถมฟรีลักษณนามจีน 
👉🏻 130฿ / ไ… https://t.co/8G8wpboOWv",2019-09-05 15:36:59
1012,"คอร์สตะลุยแพทจีน 490฿ เท่านั้น!!!!
-พาร์ทแกรมม่า หลักภาษา เรียงลำดับ คำศัพท์ บทความ 
-100 ข้อ 
- พินอิน ความหมายทีล… https://t.co/zcIjm1Jeqi",2019-09-05 15:36:59
1013,"🔟 ชีทสรุปHSK4 🍭 สรุปไวยากรณ์สำคัญ
🎈 คำศัพท์HSK4 1200 คำ
📝 ตัวอักษรจีน พินอิน คำแปล
📌 แถมฟรีลักษณนามจีน 
👉🏻 130฿ / ไ… https://t.co/aG1Td2lUna",2019-09-05 15:36:59
1014,"5️⃣ชีทข้อสอบ #แพทจีน
🎈รอบวันที่ 9 มีนาคม 2553 
📝คำอธิบาย+เฉลย ครบ100ข้อ 
👉🏻80฿ / ไฟล์ 
#แพทจีน #ชีทสรุป… https://t.co/2U0P5WAfvx",2019-09-05 15:36:59
1015,"2️⃣ชีทสรุปความรู้ทั่วไปของจีน 
(ประวัติศาสตร์/ภูมิศาสตร์/การเมือง/เทศกาลต่างๆ)
👉🏻80 ฿/ ไฟล์ 
⚠️แถมฟรี!!! รวมลักษณนา… https://t.co/MPmdp77bfx",2019-09-05 15:36:59
1016,"9️⃣ ชีทข้อสอบHSK3 (阅读)
🍭 คำศัพท์HSK3 600 คำ พร้อมตัวอย่าง
🎉 H31001 H31002 H31003
📝 คำอธิบาย+เฉลย
👉🏻100฿ /ไฟล์
💌: pa… https://t.co/OHTgursx9C",2019-09-05 15:36:59
1017,"4️⃣ชีทข้อสอบ #แพทจีน
🎈รอบวันที่ 8 มีนาคม 2554 
📝คำอธิบาย+เฉลย ครบ100ข้อ 
👉🏻80฿ / ไฟล์ 
💌IG : patchinese7.4 
💰รับวอล… https://t.co/ebO7p8s0Xx",2019-09-05 15:36:59
1018,"🔟 ชีทสรุปHSK4 🍭 สรุปไวยากรณ์สำคัญ
🎈 คำศัพท์HSK4 1200 คำ
📝 ตัวอักษรจีน พินอิน คำแปล
📌 แถมฟรีลักษณนามจีน 
👉🏻 130฿ / ไ… https://t.co/CXKCELq9Vf",2019-09-05 15:36:59
1019,"4️⃣ชีทข้อสอบ #แพทจีน
🎈รอบวันที่ 8 มีนาคม 2554 
📝คำอธิบาย+เฉลย ครบ100ข้อ 
👉🏻80฿ / ไฟล์ 
💌IG : patchinese7.4 
💰รับวอล… https://t.co/kgtbNkpJ36",2019-09-05 15:36:59
1020,"คำว่า ""ได้ดีเพราะติวเตอร์"" มีอยู่จริง
รรชั้นก็ไม่ได้ดังมากหรอกแต่การสอนของครูนี่คือแย่มาก ครูต่างชาติ 1คนให้สอน 4วิชาก็ไม่ได้ปะ อยากบอกว่าเรียนไม่รู้เรื่องเลยอีดอกกูตั้งใจจนจะร้องไห้ละ อยู่ม.3จะเข้าม.4 ก็เครียดเป็นนะ #การศึกษาฆ่าฉัน #WhatHappeningInThailand",2019-09-06 10:48:35
1021,"คำว่า ""ได้ดีเพราะติวเตอร์"" มีอยู่จริง
รรชั้นก็ไม่ได้ดังมากหรอกแต่การสอนของครูนี่คือแย่มาก ครูต่างชาติ 1คนให้สอน 4วิ… https://t.co/ePI2yx1LUF",2019-09-06 10:48:35
1022,"ส่งต่อ คอร์สเรียนได้ถึงเดือน8 ซื้อมา 1,800 ส่งต่อ 1,500 ค่ะจดไป5หน้า เวลาเหลือพอเรียนใหม่หมดค่ะ พร้อมโอนลดได้ค่า… https://t.co/nptlv9rr3i",2019-09-07 16:09:33
1023,หาคนหารฟิสิกส์ โกเอกค่ะ ม.5 เรื่องเสียงกับไฟฟ้าทั้งบท เรียนได้ถึงเดือน5 สนใจเดมมาถามรายละเอียดก่อนได้นะคะ  ขยายเวลา… https://t.co/s1tMhkwLw3,2019-09-07 16:09:33
1024,"ขายใบรับรองแพทย์ ราคา 300- บาท
•เป็นของโรงพยาบาลใช้ตรายางจริงการันตีผ่านแน่นอน
•มีเครดิตกับรีวิวเพียบ 
•สนใจแอดไลน์… https://t.co/xBBmMNDua4",2019-09-12 14:07:19
